Faculté;Semestre;Crédits;Nom;Professeur;Lien
FDCA;Annuel;3.00;Die deutsche Zivilprozessordnung (ZPO);Walter Josef Franz Boente;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=94204&v_ueid=5&v_etapeid1=797&v_langue=fr&v_isinterne=
FDCA;Printemps;3.00;Internationales Wirtschaftsrecht (IWR);Marc Bungenberg;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=37145&v_ueid=5&v_etapeid1=797&v_langue=fr&v_isinterne=
FDCA;Printemps;7.00;Seminar im Internationalen Privatrecht (IPR-Seminar);Christoph Kern;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=53946&v_ueid=5&v_etapeid1=797&v_langue=fr&v_isinterne=
FDCA;Annuel;6.00;Übungen im Bürgerlichen Recht für Fortgeschrittene (BGB);Christoph Kern;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=94225&v_ueid=5&v_etapeid1=797&v_langue=fr&v_isinterne=
FDCA;Annuel;3.00;Übungen im Öffentlichen Recht für Fortgeschrittene (ÖR);Marc Bungenberg;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=94722&v_ueid=5&v_etapeid1=797&v_langue=fr&v_isinterne=
FDCA;Annuel;0.00;Wiederholungskurse im Privatrecht (WDH);Christoph Kern;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=94206&v_ueid=5&v_etapeid1=797&v_langue=fr&v_isinterne=
FDCA;Automne;3.00;Deutsches Internationales Privatrecht (IPR);Christoph Kern;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=46217&v_ueid=5&v_etapeid1=797&v_langue=fr&v_isinterne=
SSP;Annuel;6.00;Anthropologie culturelle et sociale A;Mark Goodale;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95651&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=
SSP;Annuel;6.00;Anthropologie culturelle et sociale B;Irene Maffi;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95653&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=
SSP;Annuel;6.00;Anthropologie culturelle et sociale I;Mark Goodale;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95526&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=
SSP;Annuel;6.00;Concepts de base en sciences sociales;Laurence Kaufmann;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=86400&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=
SSP;Annuel;6.00;Histoire de la psychologie;Rémy Amouroux;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=92931&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=
SSP;Annuel;6.00;Histoire des idées politiques;Olivier Ruchet;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95354&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=
SSP;Annuel;6.00;Histoire internationale contemporaine;Stefanie Prezioso;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=93953&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=
SSP;Annuel;6.00;Institutions et régimes politiques;Sean Müller;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95522&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=
SSP;Annuel;6.00;Introduction à la psychologie sociale;Jessica Gale;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=93961&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=
SSP;Annuel;6.00;Introduction à la recherche;Jonathan Miaz;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=95981&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=
SSP;Annuel;6.00;Introduction à la recherche: interactions familiales et parcours de vie;Jacques-Antoine Gauthier;https://applicationspub.unil.ch/interpub/noauth/php/Ud/ficheCours.php?v_enstyid=68563&v_ueid=171&v_etapeid1=32348&v_langue=fr&v_isinterne=
