Faculté;Semestre;Cursus;Crédits;Nom;Professeur
SSP;Annuel;Master;6.00;Histoire de la psychologie;Rémy Amouroux
SSP;Annuel;Bachelor;6.00;Introduction à la recherche;Jonathan Miaz
SSP;Annuel;Bachelor;6.00;Introduction à la recherche: vote, abstention et rapport au politique 1;Andrea Pilotti
SSP;Annuel;Master;6.00;Sociologie générale I;Gaële Goastellec
SSP;Printemps;Bachelor;3.00;Introduction à la psychologie du sport;Roberta Antonini Philippe
SSP;Annuel;Bachelor;6.00;Introduction à la recherche: vote, abstention et rapport au politique 3;Sélim Smaoui
SSP;Annuel;Bachelor;6.00;Institutions et régimes politiques;Sean Müller
SSP;Annuel;Bachelor;6.00;Histoire internationale contemporaine;Stefanie Prezioso
SSP;Annuel;Master;6.00;Introduction à la psychologie sociale;Jessica Gale
SSP;Annuel;Master;6.00;Histoire des idées politiques;Olivier Ruchet
SSP;Annuel;Bachelor;6.00;Introduction à la recherche: la perspective de genre;Lavinia Gianettoni
SSP;Annuel;Bachelor;6.00;Anthropologie culturelle et sociale A;Mark Goodale
SSP;Annuel;Bachelor;6.00;Introduction à la science politique;Olivier Fillieule
SSP;Annuel;Bachelor;6.00;Introduction à la recherche: migrations et transnationalisme;Flavia Cangià
SSP;Annuel;Master;6.00;Anthropologie culturelle et sociale I;Mark Goodale
SSP;Annuel;Master;6.00;Introduction aux théories économiques;Roberto Baranzini
SSP;Annuel;Bachelor;6.00;Introduction à la recherche: la construction sociale du corps;Pierre-Emmanuel Sorignet
SSP;Annuel;Bachelor;6.00;Introduction à la recherche: vote, abstention et rapport au politique 2;Hervé Rayner
SSP;Annuel;Bachelor;6.00;Introduction à la recherche: interactions familiales et parcours de vie;Jacques-Antoine Gauthier
SSP;Annuel;Master;6.00;Concepts de base en sciences sociales;Laurence Kaufmann
SSP;Annuel;Bachelor;6.00;Sociologie générale A;Philippe Gonzalez
SSP;Annuel;Bachelor;6.00;Sociologie générale B;Marc Perrenoud
SSP;Annuel;Bachelor;6.00;Introduction aux méthodes de l'histoire I;Ami-Jacques Rapin
SSP;Annuel;Master;6.00;Psychologie du développement;Catherine Thevenot
SSP;Annuel;Bachelor;6.00;Politique sociale;Leen Vandecasteele
SSP;Annuel;Bachelor;6.00;Anthropologie culturelle et sociale B;Irene Maffi
FTSR;Automne;Master;3.00;Introduction à la psychologie de la religion : Approche psychologique du champ religieux;Pierre-Yves Brandt, Julie Matthey-de-l'Endroit
LETTRES;Annuel;Master;6.00;Méthodologie de l'histoire ancienne: proséminaire - Annuel (HANC);Lara Dubosson-Sbriglione
FTSR;Automne;Master;2.50;Introduction à l’Islam I : des origines à 1517. Histoire, religion et civilisation arabo-musulmane;Wissam Halawi
FTSR;Automne;Master;2.50;"Introduction à l'histoire et sciences des religions : l'archéologie des sciences des religions ; introduction historique";Christian Grosse
LETTRES;Automne;Master;2.00;Introduction à la langue latine I - ME2;Brigitte Maire
FTSR;Automne;Master;2.50;Introduction aux religions de la Scandinavie médiévale;Nicolas Meylan
LETTRES;Annuel;Master;3.00;Introduction au hindi : travaux pratiques (niveau 1);Nicola Pozza
FTSR;Automne;Master;3.00;Introduction aux sciences sociales des migrations, religions, arts : Concepts, courants, état des lieux;Monika Salzbrunn
FTSR;Inconnu;Master;9.00;UNIGE: Grammaire de l'égyptien classique I;Philippe Collombert
FTSR;Automne;Master;3.00;Introduction à la théologie systématique I;Beate Bengard
SCIENCES²;Automne;Master;3.00;Terre! Origine et évolution d'une planète turbulente;François Bussy, Jean-Luc Epard
FTSR;Automne;Master;3.00;Arabes et Juifs dans le conflit israélo-palestinen;Jacques Ehrenfreund, Wissam Halawi
FTSR;Annuel;Master;8.00;Hébreu I;Alain Buehlmann
